,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT1T,GEAT1T,PBHT1T,PBAT1T,TGHT1T,TGAT1T,CGHT1T,CGAT1T,CFHT1T,CFAT1T,FCHT1T,FCAT1T,EHT1T,EAT1T,IHT1T,IAT1T,LCHT1T,LCAT1T,DGHT1T,DGAT1T,FHT1T,FAT1T,CVHT1T,CVAT1T,CAHT1T,CAAT1T,PTHT1T,PTAT1T,DHT1T,DAT1T,AHT1T,AAT1T,APHT1T,APAT1T,BACHT1T,BACAT1T
24,06.04.2024,RODADA 32,Luton,Bournemouth,2,1,0,0,2,1,0.19,0.16,53%,47%,4,5,0,0,4,5,5,6,5,1,0,0,9,7,0,0,5,6,0,0,0,0,193,178,7,7,61,38,22,18,10,12
25,06.04.2024,RODADA 32,Wolverhampton,West Ham,1,2,1,0,0,2,1.57,0.03,64%,36%,11,2,6,0,5,2,3,7,3,1,1,0,12,12,0,5,7,4,0,0,1,1,342,179,12,15,44,42,25,11,4,5
26,06.04.2024,RODADA 32,Crystal Palace,Manchester City,2,4,1,1,1,3,0.82,0.86,24%,76%,3,9,1,5,2,4,4,4,1,7,1,1,3,13,4,0,3,3,0,0,0,1,125,395,9,3,31,82,12,46,15,7
27,04.04.2024,RODADA 31,Chelsea,Manchester Utd,4,3,2,2,2,1,1.42,0.91,47%,53%,11,13,4,4,7,9,6,6,5,1,2,0,5,8,2,2,4,7,0,0,2,0,210,244,4,8,42,59,19,17,5,7
28,04.04.2024,RODADA 31,Liverpool,Sheffield Utd,3,1,1,0,2,1,0.60,0.53,83%,17%,14,3,5,2,9,1,4,4,3,1,0,1,8,4,2,4,4,3,0,0,0,0,406,84,6,10,71,30,48,6,2,18
29,03.04.2024,RODADA 31,Manchester City,Aston Villa,4,1,2,1,2,0,1.29,0.25,65%,35%,10,3,5,1,5,2,6,4,1,1,1,1,7,3,0,3,4,5,0,0,1,1,335,179,8,7,73,22,61,11,4,15
30,03.04.2024,RODADA 31,Arsenal,Luton,2,0,2,0,0,0,0.85,0.10,63%,37%,11,2,3,1,8,1,4,6,2,0,0,1,11,6,1,1,6,3,0,0,0,0,350,202,7,6,56,28,32,11,3,11
31,03.04.2024,RODADA 31,Brentford,Brighton,0,0,0,0,0,0,0.44,0.27,35%,65%,3,9,2,3,1,6,7,5,0,4,2,0,2,5,3,2,3,7,0,0,0,0,203,366,6,6,40,64,15,46,10,3
32,02.04.2024,RODADA 31,West Ham,Tottenham,1,1,1,1,0,0,0.60,0.45,30%,70%,5,4,2,2,3,2,3,6,6,3,1,0,8,8,1,1,7,4,0,0,0,1,138,342,7,14,40,56,25,31,10,10
33,02.04.2024,RODADA 31,Bournemouth,Crystal Palace,1,0,0,0,1,0,0.51,0.10,53%,47%,6,2,2,2,4,0,9,4,5,0,0,2,11,13,2,2,4,7,0,0,0,1,224,205,9,15,60,48,25,19,7,13
