,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT0T,GEAT0T,PBHT0T,PBAT0T,TGHT0T,TGAT0T,CGHT0T,CGAT0T,CFHT0T,CFAT0T,FCHT0T,FCAT0T,EHT0T,EAT0T,IHT0T,IAT0T,LCHT0T,LCAT0T,DGHT0T,DGAT0T,FHT0T,FAT0T,CVHT0T,CVAT0T,CAHT0T,CAAT0T,PTHT0T,PTAT0T,DHT0T,DAT0T,AHT0T,AAT0T,APHT0T,APAT0T,BACHT0T,BACAT0T,GEHT1T,GEAT1T,PBHT1T,PBAT1T,TGHT1T,TGAT1T,CGHT1T,CGAT1T,CFHT1T,CFAT1T,FCHT1T,FCAT1T,EHT1T,EAT1T,IHT1T,IAT1T,LCHT1T,LCAT1T,DGHT1T,DGAT1T,FHT1T,FAT1T,CVHT1T,CVAT1T,CAHT1T,CAAT1T,PTHT1T,PTAT1T,DHT1T,DAT1T,AHT1T,AAT1T,APHT1T,APAT1T,BACHT1T,BACAT1T,GEHT2T,GEAT2T,PBHT2T,PBAT2T,TGHT2T,TGAT2T,CGHT2T,CGAT2T,CFHT2T,CFAT2T,FCHT2T,FCAT2T,EHT2T,EAT2T,IHT2T,IAT2T,LCHT2T,LCAT2T,DGHT2T,DGAT2T,FHT2T,FAT2T,CVHT2T,CVAT2T,CAHT2T,CAAT2T,PTHT2T,PTAT2T,DHT2T,DAT2T,AHT2T,AAT2T,APHT2T,APAT2T,BACHT2T,BACAT2T
10,07.04.2024,RODADA 32,Tottenham,Nottingham,3,1,1,1,2,0,1.28,1.31,64%,36%,17,13,7,6,10,7,14,13,12,2,2,2,11,16,5,4,11,12,0,0,2,4,668,381,14,10,127,68,83,40,14,21,0.78,0.83,65%,35%,8,7,2,4,6,3,6,4,5,2,0,1,5,8,3,1,4,5,0,0,1,1,328,178,5,3,69,31,47,11,7,14,0.50,0.48,63%,37%,9,6,5,2,4,4,8,9,7,0,2,1,6,8,2,3,7,7,0,0,1,3,340,203,9,7,58,37,36,29,7,7
11,07.04.2024,RODADA 32,Sheffield Utd,Chelsea,2,2,1,1,1,1,1.47,0.41,32%,68%,11,6,6,3,5,3,10,11,7,6,0,0,13,17,1,4,12,10,0,0,4,2,316,697,13,10,108,113,40,44,22,21,0.39,0.22,27%,73%,5,3,4,1,1,2,6,4,2,1,0,0,5,8,0,3,4,6,0,0,0,1,148,419,4,3,57,66,15,20,6,8,1.08,0.19,37%,63%,6,3,2,2,4,1,4,7,5,5,0,0,8,9,1,1,8,4,0,0,4,1,168,278,9,7,51,47,25,24,16,13
12,07.04.2024,RODADA 32,Manchester Utd,Liverpool,2,2,0,1,2,1,0,0,38%,62%,9,28,5,7,4,21,12,12,6,11,3,2,10,22,5,3,9,10,0,0,5,2,362,574,32,15,57,137,38,90,30,13,0,0,43%,57%,0,14,0,4,0,10,5,4,3,8,2,1,5,13,3,0,2,4,0,0,0,1,195,253,18,7,35,63,19,42,11,7,0,0,33%,67%,9,14,5,3,4,11,7,8,3,3,1,1,5,9,2,3,7,6,0,0,5,1,167,321,14,8,22,74,19,48,19,6
13,06.04.2024,RODADA 32,Brighton,Arsenal,0,3,0,1,0,2,0.38,3.55,55%,45%,10,20,2,7,8,13,17,14,8,7,2,2,13,12,4,2,14,13,0,0,1,2,529,439,19,14,85,75,46,60,17,17,0.25,2.03,42%,58%,6,9,1,2,5,7,5,6,2,3,2,1,5,6,1,1,6,5,0,0,0,0,208,286,13,5,32,47,11,41,10,4,0.13,1.52,68%,32%,4,11,1,5,3,6,12,8,6,4,0,1,8,6,3,1,8,8,0,0,1,2,321,153,6,9,53,28,35,19,7,13
14,06.04.2024,RODADA 32,Aston Villa,Brentford,3,3,1,0,2,3,1.04,1.21,70%,30%,11,8,3,3,8,5,15,15,11,3,0,4,14,13,0,0,15,11,0,0,2,2,571,247,8,11,106,74,79,28,18,26,0.39,0.07,75%,25%,4,2,1,0,3,2,12,3,7,0,0,3,6,4,0,0,4,7,0,0,0,1,304,98,4,3,58,31,42,12,6,8,0.65,1.14,65%,35%,7,6,2,3,5,3,3,12,4,3,0,1,8,9,0,0,11,4,0,0,2,1,267,149,4,8,48,43,37,16,12,18
15,06.04.2024,RODADA 32,Everton,Burnley,1,0,1,0,0,0,0.74,0.41,37%,63%,12,6,3,1,9,5,14,21,3,5,10,1,20,22,1,2,11,13,0,1,2,1,294,523,26,14,103,104,51,41,25,17,0.26,0.35,41%,59%,5,4,1,1,4,3,6,9,2,2,4,1,14,10,1,0,5,5,0,0,2,0,147,224,16,9,63,46,30,16,11,15,0.48,0.06,32%,68%,7,2,2,0,5,2,8,12,1,3,6,0,6,12,0,2,6,8,0,1,0,1,147,299,10,5,40,58,21,25,14,2
16,06.04.2024,RODADA 32,Fulham,Newcastle,0,1,0,0,0,1,1.33,0.63,67%,33%,14,12,4,5,10,7,15,8,14,3,0,2,20,10,4,4,10,13,0,0,1,2,588,296,20,14,134,69,95,36,6,32,1.04,0.09,71%,29%,10,2,3,0,7,2,9,3,6,0,0,2,7,2,0,3,4,7,0,0,0,1,336,139,10,5,76,35,52,13,1,15,0.29,0.54,63%,37%,4,10,1,5,3,5,6,5,8,3,0,0,13,8,4,1,6,6,0,0,1,1,252,157,10,9,58,34,43,23,5,17
17,06.04.2024,RODADA 32,Luton,Bournemouth,2,1,0,0,2,1,1.33,0.30,56%,44%,19,8,9,1,10,7,15,7,7,2,0,0,23,22,0,7,7,14,0,0,0,0,401,327,24,23,126,62,54,33,18,30,0.19,0.16,53%,47%,4,5,0,0,4,5,5,6,5,1,0,0,9,7,0,0,5,6,0,0,0,0,193,178,7,7,61,38,22,18,10,12,1.14,0.14,59%,41%,15,3,9,1,6,2,10,1,2,1,0,0,14,15,0,7,2,8,0,0,0,0,208,149,17,16,65,24,32,15,8,18
18,06.04.2024,RODADA 32,Wolverhampton,West Ham,1,2,1,0,0,2,1.62,1.23,58%,42%,14,11,7,4,7,7,9,18,4,4,3,0,22,24,2,6,15,7,0,0,5,2,595,414,35,22,74,127,38,58,16,15,1.57,0.03,64%,36%,11,2,6,0,5,2,3,7,3,1,1,0,12,12,0,5,7,4,0,0,1,1,342,179,12,15,44,42,25,11,4,5,0.05,1.20,52%,48%,3,9,1,4,2,5,6,11,1,3,2,0,10,12,2,1,8,3,0,0,4,1,253,235,23,7,30,85,13,47,12,10
19,06.04.2024,RODADA 32,Crystal Palace,Manchester City,2,4,1,1,1,3,1.40,2.08,24%,76%,7,18,4,8,3,10,4,15,2,9,2,1,6,20,4,2,13,3,0,0,1,1,274,845,17,9,47,168,21,86,25,10,0.82,0.86,24%,76%,3,9,1,5,2,4,4,4,1,7,1,1,3,13,4,0,3,3,0,0,0,1,125,395,9,3,31,82,12,46,15,7,0.58,1.22,24%,76%,4,9,3,3,1,6,0,11,1,2,1,0,3,7,0,2,10,0,0,0,1,0,149,450,8,6,16,86,9,40,10,3
