,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT0T,GEAT0T,PBHT0T,PBAT0T,TGHT0T,TGAT0T,CGHT0T,CGAT0T,CFHT0T,CFAT0T,FCHT0T,FCAT0T,EHT0T,EAT0T,IHT0T,IAT0T,LCHT0T,LCAT0T,DGHT0T,DGAT0T,FHT0T,FAT0T,CVHT0T,CVAT0T,CAHT0T,CAAT0T,PTHT0T,PTAT0T,DHT0T,DAT0T,AHT0T,AAT0T,APHT0T,APAT0T,BACHT0T,BACAT0T,GEHT1T,GEAT1T,PBHT1T,PBAT1T,TGHT1T,TGAT1T,CGHT1T,CGAT1T,CFHT1T,CFAT1T,FCHT1T,FCAT1T,EHT1T,EAT1T,IHT1T,IAT1T,LCHT1T,LCAT1T,DGHT1T,DGAT1T,FHT1T,FAT1T,CVHT1T,CVAT1T,CAHT1T,CAAT1T,PTHT1T,PTAT1T,DHT1T,DAT1T,AHT1T,AAT1T,APHT1T,APAT1T,BACHT1T,BACAT1T,GEHT2T,GEAT2T,PBHT2T,PBAT2T,TGHT2T,TGAT2T,CGHT2T,CGAT2T,CFHT2T,CFAT2T,FCHT2T,FCAT2T,EHT2T,EAT2T,IHT2T,IAT2T,LCHT2T,LCAT2T,DGHT2T,DGAT2T,FHT2T,FAT2T,CVHT2T,CVAT2T,CAHT2T,CAAT2T,PTHT2T,PTAT2T,DHT2T,DAT2T,AHT2T,AAT2T,APHT2T,APAT2T,BACHT2T,BACAT2T
30,31.03.2024,RODADA 30,Manchester City,Arsenal,0,0,0,0,0,0,1.01,0.70,72%,28%,12,6,1,2,11,4,21,13,7,4,2,1,14,6,2,1,9,20,0,0,0,2,700,269,13,20,119,77,103,17,7,24,0.50,0.50,72%,28%,3,4,1,1,2,3,9,5,2,2,1,1,7,5,1,1,3,8,0,0,0,0,347,134,7,3,70,27,43,12,3,7,0.51,0.20,72%,28%,9,2,0,1,9,1,12,8,5,2,1,0,7,1,1,0,6,12,0,0,0,2,353,135,6,17,49,50,60,5,4,17
31,31.03.2024,RODADA 30,Liverpool,Brighton,2,1,1,1,1,0,2.78,0.43,55%,45%,30,9,8,3,22,6,10,24,8,4,5,3,15,6,2,6,20,6,0,0,5,3,585,484,19,28,131,74,81,36,14,23,1.14,0.16,57%,43%,14,3,4,1,10,2,5,16,4,2,4,2,9,1,0,3,11,4,0,0,1,1,289,217,6,14,62,28,37,12,4,12,1.64,0.27,53%,47%,16,6,4,2,12,4,5,8,4,2,1,1,6,5,2,3,9,2,0,0,4,2,296,267,13,14,69,46,44,24,10,11
32,30.03.2024,RODADA 30,Brentford,Manchester Utd,1,1,0,0,1,1,2.67,0.50,47%,53%,31,11,5,5,26,6,15,7,14,4,1,2,14,15,4,4,7,14,0,0,3,2,377,450,16,14,91,95,82,37,13,43,0.83,0.10,45%,55%,14,3,1,1,13,2,6,2,9,1,0,1,4,5,1,1,2,5,0,0,1,1,187,258,10,8,46,55,37,22,6,14,1.84,0.40,49%,51%,17,8,4,4,13,4,9,5,5,3,1,1,10,10,3,3,5,9,0,0,2,1,190,192,6,6,45,40,45,15,7,29
33,30.03.2024,RODADA 30,Aston Villa,Wolverhampton,2,0,1,0,1,0,0.81,1.23,48%,52%,11,13,5,3,6,10,21,12,5,4,1,2,7,15,3,3,11,19,0,0,3,4,408,439,16,24,75,82,34,52,9,11,0.27,0.79,50%,50%,4,7,2,2,2,5,7,7,1,2,0,1,4,10,2,1,6,6,0,0,1,1,218,222,7,10,43,41,20,34,5,7,0.54,0.44,46%,54%,7,6,3,1,4,5,14,5,4,2,1,1,3,5,1,2,5,13,0,0,2,3,190,217,9,14,32,41,14,18,4,4
34,30.03.2024,RODADA 30,Bournemouth,Everton,2,1,0,0,2,1,1.63,1.08,49%,51%,11,7,4,3,7,4,15,14,9,8,0,4,19,27,2,2,14,11,0,0,1,2,360,391,14,24,88,103,50,56,30,29,0.51,0.41,48%,52%,6,3,2,1,4,2,10,10,5,4,0,2,8,12,1,2,10,8,0,0,1,1,172,189,8,10,47,52,21,25,11,16,1.12,0.67,50%,50%,5,4,2,2,3,2,5,4,4,4,0,2,11,15,1,0,4,3,0,0,0,1,188,202,6,14,41,51,29,31,19,13
35,30.03.2024,RODADA 30,Chelsea,Burnley,2,2,1,0,1,2,3.33,1.71,69%,31%,33,18,13,7,20,11,6,14,12,4,3,0,13,9,5,11,12,7,0,2,2,4,630,271,8,10,126,64,78,49,10,26,2.66,0.40,62%,38%,16,11,7,3,9,8,2,9,7,2,1,0,6,4,3,6,9,5,0,2,2,3,256,157,4,4,55,37,30,31,6,6,0.67,1.31,76%,24%,17,7,6,4,11,3,4,5,5,2,2,0,7,5,2,5,3,2,0,0,0,1,374,114,4,6,71,27,48,18,4,20
36,30.03.2024,RODADA 30,Nottingham,Crystal Palace,1,1,0,1,1,0,0.99,1.05,59%,41%,12,10,5,3,7,7,12,18,4,6,4,0,30,14,2,4,14,12,0,0,1,1,547,397,15,22,127,102,61,41,14,42,0.15,0.89,57%,43%,5,5,1,2,4,3,5,9,2,3,2,0,15,8,1,1,7,5,0,0,0,0,274,211,7,9,56,60,19,23,5,19,0.84,0.16,61%,39%,7,5,4,1,3,4,7,9,2,3,2,0,15,6,1,3,7,7,0,0,1,1,273,186,8,13,71,42,42,18,9,23
37,30.03.2024,RODADA 30,Sheffield Utd,Fulham,3,3,0,0,3,3,1.66,1.54,26%,74%,8,24,4,9,4,15,11,10,2,15,2,0,8,17,6,1,10,13,0,0,4,1,215,592,19,9,62,123,31,53,40,13,0.22,0.47,26%,74%,4,8,1,3,3,5,7,6,1,2,1,0,5,8,3,1,4,7,0,0,0,0,121,323,10,5,30,67,14,22,15,6,1.44,1.07,26%,74%,4,16,3,6,1,10,4,4,1,13,1,0,3,9,3,0,6,6,0,0,4,1,94,269,9,4,32,56,17,31,25,7
38,30.03.2024,RODADA 30,Tottenham,Luton,2,1,0,1,2,0,2.55,0.43,70%,30%,17,7,4,3,13,4,12,16,3,6,1,1,27,13,2,2,16,14,0,0,2,4,610,255,16,12,104,55,66,30,13,21,1.25,0.32,73%,27%,7,4,1,1,6,3,3,8,2,3,0,0,17,7,0,1,9,6,0,0,0,2,340,116,6,7,61,22,41,10,5,12,1.30,0.11,67%,33%,10,3,3,2,7,1,9,8,1,3,1,1,10,6,2,1,7,8,0,0,2,2,270,139,10,5,43,33,25,20,8,9
39,30.03.2024,RODADA 30,Newcastle,West Ham,4,3,1,2,3,1,3.90,1.46,60%,40%,24,10,9,4,15,6,9,10,3,4,1,2,16,15,1,5,9,8,1,0,3,1,518,343,24,21,107,88,70,35,14,22,1.46,0.77,62%,38%,12,6,4,3,8,3,5,5,1,2,0,1,6,7,1,3,5,5,0,0,0,1,271,160,10,10,55,31,26,18,4,8,2.44,0.69,58%,42%,12,4,5,1,7,3,4,5,2,2,1,1,10,8,0,2,4,3,1,0,3,0,247,183,14,11,52,57,44,17,10,14
40,17.03.2024,RODADA 29,West Ham,Aston Villa,1,1,1,0,0,1,1.77,0.54,31%,69%,13,13,5,5,8,8,14,17,7,10,4,2,12,17,4,4,13,12,0,0,3,3,264,640,13,14,65,106,40,69,26,16,1.11,0.14,37%,63%,9,4,3,2,6,2,5,9,4,2,3,2,5,11,2,2,5,3,0,0,0,0,157,317,8,9,44,48,27,20,5,11,0.66,0.40,25%,75%,4,9,2,3,2,6,9,8,3,8,1,0,7,6,2,2,8,9,0,0,3,3,107,323,5,5,21,58,13,49,21,5
41,16.03.2024,RODADA 29,Fulham,Tottenham,3,0,1,0,2,0,2.93,2.31,43%,57%,16,14,7,5,9,9,14,11,4,5,2,4,23,15,5,4,9,10,0,0,2,3,400,546,20,12,93,122,47,61,8,20,0.98,0.53,42%,58%,7,5,3,1,4,4,5,5,2,3,0,1,11,10,1,2,5,4,0,0,0,0,199,292,14,6,43,61,28,30,4,12,1.95,1.78,44%,56%,9,9,4,4,5,5,9,6,2,2,2,3,12,5,4,2,4,6,0,0,2,3,201,254,6,6,50,61,19,31,4,8
42,16.03.2024,RODADA 29,Burnley,Brentford,2,1,1,0,1,1,2.89,1.09,60%,40%,17,9,6,5,11,4,21,19,5,4,5,3,15,12,4,4,14,17,0,1,2,4,457,292,10,27,120,81,80,37,17,24,2.11,0.60,61%,39%,7,3,2,2,5,1,6,11,3,1,2,2,5,10,2,1,9,5,0,1,0,0,234,153,5,13,55,42,40,16,5,11,0.78,0.49,59%,41%,10,6,4,3,6,3,15,8,2,3,3,1,10,2,2,3,5,12,0,0,2,4,223,139,5,14,65,39,40,21,12,13
43,16.03.2024,RODADA 29,Luton,Nottingham,1,1,0,1,1,0,0.47,1.54,60%,40%,10,16,4,6,6,10,19,11,6,7,1,2,17,15,5,3,10,17,0,0,1,2,440,297,7,24,115,89,51,35,13,22,0.13,0.89,58%,42%,4,6,2,3,2,3,6,7,2,1,1,0,6,7,2,2,6,6,0,0,1,0,235,167,5,13,65,39,27,10,2,8,0.34,0.65,62%,38%,6,10,2,3,4,7,13,4,4,6,0,2,11,8,3,1,4,11,0,0,0,2,205,130,2,11,50,50,24,25,11,14
44,13.03.2024,RODADA 17,Bournemouth,Luton,4,3,0,3,4,0,2.58,2.09,59%,41%,24,8,10,4,14,4,12,17,11,3,1,1,25,21,1,6,16,11,0,0,1,2,438,310,17,17,126,89,76,23,19,34,0.86,1.50,61%,39%,11,4,3,3,8,1,3,3,6,2,0,0,14,6,0,3,3,3,0,0,0,1,237,161,8,10,63,40,43,12,9,22,1.72,0.59,57%,43%,13,4,7,1,6,3,9,14,5,1,1,1,11,15,1,3,13,8,0,0,1,1,201,149,9,7,63,49,33,11,10,12
45,11.03.2024,RODADA 28,Chelsea,Newcastle,3,2,1,1,2,1,1.67,0.83,45%,55%,12,11,8,3,4,8,9,14,0,4,2,2,17,26,1,5,12,7,0,0,3,1,426,499,33,17,69,129,28,65,18,8,0.62,0.43,42%,58%,7,5,4,1,3,4,3,5,0,1,1,2,7,13,0,3,6,1,0,0,1,0,190,253,16,9,22,64,9,27,8,4,1.05,0.40,48%,52%,5,6,4,2,1,4,6,9,0,3,1,0,10,13,1,2,6,6,0,0,2,1,236,246,17,8,47,65,19,38,10,4
46,10.03.2024,RODADA 28,Liverpool,Manchester City,1,1,0,1,1,0,2.82,1.50,53%,47%,19,10,6,6,13,4,10,12,7,4,6,1,18,16,5,5,6,10,0,0,0,3,565,510,22,15,124,106,55,49,13,18,0.46,1.35,53%,47%,7,7,1,4,6,3,5,7,0,4,5,1,10,8,3,1,2,4,0,0,0,1,310,265,12,7,74,63,20,32,9,3,2.36,0.15,53%,47%,12,3,5,2,7,1,5,5,7,0,1,0,8,8,2,4,4,6,0,0,0,2,255,245,10,8,50,43,35,17,4,15
47,10.03.2024,RODADA 28,Brighton,Nottingham,1,0,1,0,0,0,0.51,0.64,64%,36%,10,9,3,4,7,5,15,15,6,3,1,1,7,15,4,2,14,14,0,0,4,4,680,375,9,13,106,78,42,40,19,15,0.35,0.13,63%,37%,7,3,2,1,5,2,9,6,3,1,0,1,4,9,1,1,6,8,0,0,1,2,334,193,2,3,62,30,26,18,5,14,0.16,0.51,65%,35%,3,6,1,3,2,3,6,9,3,2,1,0,3,6,3,1,8,6,0,0,3,2,346,182,7,10,44,48,16,22,14,1
48,10.03.2024,RODADA 28,West Ham,Burnley,2,2,0,2,2,0,1.75,0.58,52%,48%,22,11,4,4,18,7,20,16,4,3,5,2,25,20,2,2,11,18,0,0,2,4,439,428,16,17,100,104,52,40,16,28,0.08,0.08,49%,51%,3,4,0,2,3,2,8,9,0,1,3,2,14,12,0,0,6,6,0,0,1,0,241,249,7,9,55,48,18,14,9,5,1.67,0.50,55%,45%,19,7,4,2,15,5,12,7,4,2,2,0,11,8,2,2,5,12,0,0,1,4,198,179,9,8,45,56,34,26,7,23
49,10.03.2024,RODADA 28,Aston Villa,Tottenham,0,4,0,0,0,4,0.82,1.78,31%,69%,10,9,1,5,9,4,17,16,6,4,5,2,16,14,1,1,11,15,1,0,0,2,303,708,19,19,53,126,34,52,10,13,0.54,0.03,31%,69%,5,1,0,0,5,1,9,9,2,1,3,1,9,10,0,0,6,8,0,0,0,1,137,314,12,12,27,70,15,30,9,4,0.28,1.75,31%,69%,5,8,1,5,4,3,8,7,4,3,2,1,7,4,1,1,5,7,1,0,0,1,166,394,7,7,26,56,19,22,1,9
50,09.03.2024,RODADA 28,Arsenal,Brentford,2,1,1,1,1,0,1.26,0.94,72%,28%,17,9,6,4,11,5,12,10,10,4,1,2,7,11,3,4,9,10,0,0,2,4,564,226,8,13,114,70,91,22,5,33,0.51,0.39,72%,28%,7,4,3,2,4,2,3,6,2,1,1,1,3,3,1,2,6,3,0,0,2,2,321,126,3,6,61,32,42,14,0,15,0.75,0.55,72%,28%,10,5,3,2,7,3,9,4,8,3,0,1,4,8,2,2,3,7,0,0,0,2,243,100,5,7,53,38,49,8,5,18
51,09.03.2024,RODADA 28,Bournemouth,Sheffield Utd,2,2,0,1,2,1,2.70,1.15,70%,30%,32,13,12,9,20,4,11,13,10,3,1,1,13,13,7,10,12,11,0,0,3,5,614,278,13,16,151,76,116,28,16,42,1.77,0.93,69%,31%,13,8,5,7,8,1,7,8,3,2,1,0,5,9,6,5,7,8,0,0,2,1,316,142,4,5,73,38,52,17,9,18,0.93,0.22,71%,29%,19,5,7,2,12,3,4,5,7,1,0,1,8,4,1,5,5,3,0,0,1,4,298,136,9,11,78,38,64,11,7,24
52,09.03.2024,RODADA 28,Crystal Palace,Luton,1,1,1,0,0,1,2.69,0.57,50%,50%,21,8,4,2,17,6,12,20,8,6,0,1,17,22,1,3,20,11,0,0,2,3,427,404,19,12,94,110,55,44,22,19,1.00,0.10,54%,46%,9,3,2,0,7,3,6,8,5,3,0,0,9,12,0,1,8,6,0,0,1,1,222,182,9,4,48,50,27,17,7,7,1.69,0.47,46%,54%,12,5,2,2,10,3,6,12,3,3,0,1,8,10,1,2,12,5,0,0,1,2,205,222,10,8,46,60,28,27,15,12
53,09.03.2024,RODADA 28,Wolverhampton,Fulham,2,1,0,0,2,1,0.46,1.24,48%,52%,8,23,3,7,5,16,11,10,3,4,3,0,18,11,6,1,7,11,0,0,2,2,451,495,9,21,102,93,42,40,20,11,0.03,1.01,56%,44%,1,8,0,3,1,5,3,5,1,3,2,0,11,4,3,0,3,3,0,0,1,0,280,220,4,11,54,41,22,18,8,5,0.43,0.23,40%,60%,7,15,3,4,4,11,8,5,2,1,1,0,7,7,3,1,4,8,0,0,1,2,171,275,5,10,48,52,20,22,12,6
54,09.03.2024,RODADA 28,Manchester Utd,Everton,2,0,2,0,0,0,2.93,1.26,51%,49%,15,23,8,6,7,17,12,19,5,8,6,1,12,14,6,6,13,11,0,0,1,2,488,444,15,13,55,114,26,65,18,7,2.19,1.17,53%,47%,9,11,5,2,4,9,6,6,2,5,2,1,8,6,2,3,5,7,0,0,0,2,225,183,5,8,31,49,17,26,9,6,0.74,0.09,49%,51%,6,12,3,4,3,8,6,13,3,3,4,0,4,8,4,3,8,4,0,0,1,0,263,261,10,5,24,65,9,39,9,1
55,04.03.2024,RODADA 27,Sheffield Utd,Arsenal,0,6,0,5,0,1,0.26,1.95,19%,81%,4,22,0,10,4,12,9,13,0,7,2,5,7,17,4,0,11,4,0,0,1,0,212,892,14,7,48,160,9,92,32,6,0.03,1.67,20%,80%,1,16,0,7,1,9,5,8,0,3,2,1,5,9,2,0,6,3,0,0,1,0,113,452,10,1,27,89,3,58,18,5,0.23,0.28,18%,82%,3,6,0,3,3,3,4,5,0,4,0,4,2,8,2,0,5,1,0,0,0,0,99,440,4,6,21,71,6,34,14,1
56,03.03.2024,RODADA 27,Manchester City,Manchester Utd,3,1,0,1,3,0,3.15,0.19,73%,27%,27,3,8,1,19,2,11,5,15,2,0,1,19,4,0,5,5,10,0,0,0,1,801,305,5,19,176,44,148,25,4,41,2.70,0.19,74%,26%,18,2,3,1,15,1,2,2,12,2,0,0,8,3,0,3,2,2,0,0,0,0,382,136,0,12,89,26,89,15,3,25,0.45,0.00,72%,28%,9,1,5,0,4,1,9,3,3,0,0,1,11,1,0,2,3,8,0,0,0,1,419,169,5,7,87,18,59,10,1,16
57,03.03.2024,RODADA 27,Burnley,Bournemouth,0,2,0,1,0,1,1.60,1.19,75%,25%,20,10,6,3,14,7,17,10,7,2,2,4,29,18,1,6,8,13,0,0,2,4,608,206,19,20,126,72,78,25,12,35,1.29,0.53,75%,25%,13,5,4,1,9,4,8,4,4,1,1,2,13,11,0,4,3,6,0,0,1,2,292,97,9,9,64,30,49,9,7,29,0.31,0.66,75%,25%,7,5,2,2,5,3,9,6,3,1,1,2,16,7,1,2,5,7,0,0,1,2,316,109,10,11,62,42,29,16,5,6
58,02.03.2024,RODADA 27,Luton,Aston Villa,2,3,0,2,2,1,2.29,1.81,47%,53%,13,12,5,8,8,4,20,11,8,6,3,1,12,20,5,3,8,19,0,0,1,4,365,444,11,15,80,68,43,33,16,26,0.06,1.42,44%,56%,3,10,0,6,3,4,8,6,1,6,1,0,1,8,4,0,6,8,0,0,1,2,183,243,5,5,43,33,18,19,7,11,2.23,0.39,50%,50%,10,2,5,2,5,0,12,5,7,0,2,1,11,12,1,3,2,11,0,0,0,2,182,201,6,10,37,35,25,14,9,15
59,02.03.2024,RODADA 27,Brentford,Chelsea,2,2,0,1,2,1,2.07,1.66,32%,68%,14,17,5,6,9,11,13,10,0,6,1,4,21,21,4,3,10,9,0,0,3,1,297,642,22,26,96,137,34,44,20,16,0.54,1.27,28%,72%,4,8,1,3,3,5,6,3,0,3,1,2,9,7,2,1,2,5,0,0,0,1,142,373,8,12,38,83,10,19,8,2,1.53,0.39,36%,64%,10,9,4,3,6,6,7,7,0,3,0,2,12,14,2,2,8,4,0,0,3,0,155,269,14,14,58,54,24,25,12,14
60,02.03.2024,RODADA 27,Everton,West Ham,1,3,0,0,1,3,2.47,1.21,55%,45%,22,12,11,5,11,7,7,11,4,5,2,1,20,16,2,10,9,6,0,0,1,2,498,407,10,23,121,105,60,43,11,31,1.10,0.37,56%,44%,5,5,2,1,3,4,3,6,2,3,0,0,13,10,1,2,6,5,0,0,0,0,247,193,5,12,59,54,30,21,10,18,1.37,0.84,54%,46%,17,7,9,4,8,3,4,5,2,2,2,1,7,6,1,8,3,1,0,0,1,2,251,214,5,11,62,51,30,22,1,13
61,02.03.2024,RODADA 27,Fulham,Brighton,3,0,2,0,1,0,1.09,1.11,29%,71%,12,15,5,5,7,10,14,18,2,6,2,4,13,14,5,2,16,10,0,0,1,2,307,742,24,16,65,146,30,68,27,11,0.20,0.13,29%,71%,4,4,3,1,1,3,5,9,0,0,1,1,6,8,1,1,11,6,0,0,0,1,151,377,9,8,43,63,16,22,4,8,0.89,0.98,29%,71%,8,11,2,4,6,7,9,9,2,6,1,3,7,6,4,1,5,4,0,0,1,1,156,365,15,8,22,83,14,46,23,3
62,02.03.2024,RODADA 27,Newcastle,Wolverhampton,3,0,2,0,1,0,2.29,0.70,44%,56%,14,12,7,3,7,9,13,8,3,5,0,2,21,26,3,4,8,11,0,0,0,1,451,564,19,8,92,105,35,69,15,13,1.55,0.27,37%,63%,8,5,4,0,4,5,4,5,1,3,0,2,10,10,0,2,5,2,0,0,0,0,190,310,10,4,42,50,15,38,6,4,0.74,0.43,51%,49%,6,7,3,3,3,4,9,3,2,2,0,0,11,16,3,2,3,9,0,0,0,1,261,254,9,4,50,55,20,31,9,9
63,02.03.2024,RODADA 27,Nottingham,Liverpool,0,1,0,0,0,1,1.10,2.10,30%,70%,8,22,2,2,6,20,12,13,3,12,2,1,30,23,1,2,11,12,0,0,3,2,278,662,20,20,84,169,36,74,27,11,0.63,0.53,27%,73%,3,8,1,0,2,8,5,9,1,3,2,1,20,13,0,1,7,5,0,0,0,0,135,359,11,10,40,91,13,33,9,3,0.47,1.57,33%,67%,5,14,1,2,4,12,7,4,2,9,0,0,10,10,1,1,4,7,0,0,3,2,143,303,9,10,44,78,23,41,18,8
64,02.03.2024,RODADA 27,Tottenham,Crystal Palace,3,1,0,0,3,1,1.58,0.41,78%,22%,14,4,6,1,8,3,21,9,11,1,2,5,15,10,0,3,7,16,0,0,1,2,818,226,18,16,151,64,105,22,9,29,1.10,0.41,82%,18%,2,3,1,0,1,3,11,8,4,1,2,3,8,3,0,1,6,8,0,0,0,0,447,91,6,7,68,28,48,12,6,12,0.48,0.00,74%,26%,12,1,5,1,7,0,10,1,7,0,0,2,7,7,0,2,1,8,0,0,1,2,371,135,12,9,83,36,57,10,3,17
65,26.02.2024,RODADA 26,West Ham,Brentford,4,2,2,1,2,1,1.56,1.05,41%,59%,17,14,6,8,11,6,13,7,1,7,2,4,15,24,6,2,5,9,0,0,1,2,396,551,15,31,112,122,52,70,35,17,0.99,0.12,43%,57%,14,2,3,1,11,1,8,4,0,2,2,3,10,16,0,1,2,5,0,0,0,1,203,270,8,13,68,49,31,28,16,11,0.57,0.93,39%,61%,3,12,3,7,0,5,5,3,1,5,0,1,5,8,6,1,3,4,0,0,1,1,193,281,7,18,44,73,21,42,19,6
66,25.02.2024,RODADA 26,Wolverhampton,Sheffield Utd,1,0,1,0,0,0,1.23,0.58,63%,37%,13,12,2,4,11,8,5,7,5,6,1,0,18,15,4,1,8,4,0,0,2,1,608,341,23,17,97,81,54,51,25,21,0.96,0.24,70%,30%,8,4,1,2,7,2,1,3,3,1,1,0,8,4,2,0,1,2,0,0,0,0,345,158,11,8,67,34,33,12,6,13,0.27,0.34,56%,44%,5,8,1,2,4,6,4,4,2,5,0,0,10,11,2,1,7,2,0,0,2,1,263,183,12,9,30,47,21,39,19,8
67,24.02.2024,RODADA 26,Arsenal,Newcastle,4,1,2,0,2,1,2.40,0.14,55%,45%,18,3,8,2,10,1,8,18,9,0,3,2,15,16,1,4,15,6,0,0,1,0,557,462,11,11,118,55,78,30,6,21,1.47,0.00,64%,36%,11,0,4,0,7,0,6,11,6,0,2,2,5,9,0,2,9,3,0,0,1,0,353,202,7,4,74,17,61,8,4,17,0.93,0.14,44%,56%,7,3,4,2,3,1,2,7,3,0,1,0,10,7,1,2,6,3,0,0,0,0,204,260,4,7,44,38,17,22,2,4
68,24.02.2024,RODADA 26,Bournemouth,Manchester City,0,1,0,1,0,0,0.79,1.53,38%,62%,13,15,4,6,9,9,6,16,3,8,3,0,16,19,5,4,14,6,0,0,2,2,351,582,23,12,80,121,43,78,26,14,0.14,1.43,33%,67%,4,9,2,4,2,5,3,9,2,1,1,0,8,11,3,2,8,3,0,0,1,0,160,321,12,2,34,64,11,29,10,4,0.65,0.10,43%,57%,9,6,2,2,7,4,3,7,1,7,2,0,8,8,2,2,6,3,0,0,1,2,191,261,11,10,46,57,32,49,16,10
69,24.02.2024,RODADA 26,Aston Villa,Nottingham,4,2,3,1,1,1,3.35,2.45,58%,42%,16,10,6,3,10,7,18,8,7,2,1,2,14,15,1,2,7,16,0,0,1,2,512,372,13,23,79,73,48,37,22,11,1.83,0.90,58%,42%,7,4,4,1,3,3,9,6,4,1,1,1,6,9,0,1,5,8,0,0,0,2,238,174,8,13,33,37,24,19,11,6,1.52,1.55,58%,42%,9,6,2,2,7,4,9,2,3,1,0,1,8,6,1,1,2,8,0,0,1,0,274,198,5,10,46,36,24,18,11,5
70,24.02.2024,RODADA 26,Brighton,Everton,1,1,0,0,1,1,1.36,0.28,65%,35%,23,6,7,3,16,3,17,10,11,3,1,3,11,14,2,6,9,14,1,0,2,3,638,350,16,13,127,52,66,36,12,28,0.73,0.00,60%,40%,10,0,3,0,7,0,7,2,8,2,0,1,10,5,0,3,2,7,0,0,0,1,315,212,7,6,40,27,30,19,5,9,0.63,0.28,70%,30%,13,6,4,3,9,3,10,8,3,1,1,2,1,9,2,3,7,7,1,0,2,2,323,138,9,7,87,25,36,17,7,19
71,24.02.2024,RODADA 26,Crystal Palace,Burnley,3,0,0,0,3,0,2.67,0.10,56%,44%,15,2,6,0,9,2,16,14,12,3,6,2,18,16,0,3,8,14,0,1,3,1,477,393,13,14,115,88,71,25,12,32,0.63,0.00,58%,42%,6,0,1,0,5,0,8,8,9,2,6,1,9,5,0,1,3,8,0,1,0,0,232,178,7,4,62,44,38,12,8,17,2.04,0.10,54%,46%,9,2,5,0,4,2,8,6,3,1,0,1,9,11,0,2,5,6,0,0,3,1,245,215,6,10,53,44,33,13,4,15
72,24.02.2024,RODADA 26,Manchester Utd,Fulham,1,2,0,0,1,2,1.66,1.10,57%,43%,21,17,9,5,12,12,9,6,10,9,2,1,14,17,3,8,6,11,0,0,2,5,537,400,14,18,117,91,59,36,18,24,0.38,0.53,50%,50%,8,8,2,3,6,5,6,2,4,6,2,0,3,8,3,2,1,7,0,0,1,3,250,243,8,5,48,50,25,19,8,12,1.28,0.57,64%,36%,13,9,7,2,6,7,3,4,6,3,0,1,11,9,0,6,5,4,0,0,1,2,287,157,6,13,69,41,34,17,10,12
73,21.02.2024,RODADA 26,Liverpool,Luton,4,1,0,1,4,0,3.35,1.03,61%,39%,29,12,13,3,16,9,17,17,13,4,2,3,18,16,2,9,15,14,0,0,1,4,508,329,21,22,133,75,71,32,20,34,1.06,0.82,57%,43%,12,5,3,2,9,3,7,8,7,0,0,1,6,9,1,3,8,7,0,0,0,2,260,191,13,13,64,46,34,17,7,15,2.29,0.21,65%,35%,17,7,10,1,7,6,10,9,6,4,2,2,12,7,1,6,7,7,0,0,1,2,248,138,8,9,69,29,37,15,13,19
74,20.02.2024,RODADA 18,Manchester City,Brentford,1,0,0,0,1,0,2.46,0.34,70%,30%,25,6,11,2,14,4,9,13,10,1,1,3,14,13,2,10,12,6,0,0,2,4,712,301,6,11,138,64,125,25,20,27,1.68,0.32,68%,32%,17,5,6,2,11,3,5,5,6,0,0,2,7,8,2,6,6,2,0,0,1,1,317,150,3,6,71,28,73,16,7,18,0.78,0.02,72%,28%,8,1,5,0,3,1,4,8,4,1,1,1,7,5,0,4,6,4,0,0,1,3,395,151,3,5,67,36,52,9,13,9
75,19.02.2024,RODADA 25,Everton,Crystal Palace,1,1,0,0,1,1,1.66,0.62,63%,37%,19,10,4,4,15,6,14,9,3,6,1,2,26,37,3,3,8,12,0,0,0,2,527,315,25,15,141,99,69,49,15,37,0.35,0.33,51%,49%,6,5,0,2,6,3,6,6,1,4,1,2,11,17,2,0,5,5,0,0,0,0,222,208,9,10,67,56,31,20,14,11,1.31,0.29,75%,25%,13,5,4,2,9,3,8,3,2,2,0,0,15,20,1,3,3,7,0,0,0,2,305,107,16,5,74,43,38,29,1,26
76,18.02.2024,RODADA 25,Luton,Manchester Utd,1,2,1,2,0,0,1.75,3.11,58%,42%,22,21,4,9,18,12,22,11,8,6,4,1,12,10,7,3,7,21,0,0,3,5,528,391,14,14,107,85,83,39,12,26,1.13,1.00,59%,41%,11,8,2,4,9,4,12,5,1,3,1,0,10,6,2,1,4,12,0,0,1,3,263,184,4,6,52,46,27,20,7,8,0.62,2.11,57%,43%,11,13,2,5,9,8,10,6,7,3,3,1,2,4,5,2,3,9,0,0,2,2,265,207,10,8,55,39,56,19,5,18
77,18.02.2024,RODADA 25,Sheffield Utd,Brighton,0,5,0,2,0,3,0.64,3.34,21%,79%,6,24,1,10,5,14,7,5,5,10,2,2,15,13,5,1,3,5,1,0,1,4,226,871,8,15,43,138,26,90,37,13,0.17,2.42,22%,78%,3,13,1,6,2,7,4,4,3,4,2,1,5,8,4,1,2,3,1,0,0,1,111,392,1,8,24,68,16,43,27,6,0.47,0.92,20%,80%,3,11,0,4,3,7,3,1,2,6,0,1,10,5,1,0,1,2,0,0,1,3,115,479,7,7,19,70,10,47,10,7
