,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT0T,GEAT0T,PBHT0T,PBAT0T,TGHT0T,TGAT0T,CGHT0T,CGAT0T,CFHT0T,CFAT0T,FCHT0T,FCAT0T,EHT0T,EAT0T,IHT0T,IAT0T,LCHT0T,LCAT0T,DGHT0T,DGAT0T,FHT0T,FAT0T,CVHT0T,CVAT0T,CAHT0T,CAAT0T,PTHT0T,PTAT0T,DHT0T,DAT0T,AHT0T,AAT0T,APHT0T,APAT0T,BACHT0T,BACAT0T
24,06.04.2024,RODADA 32,Brescia,Pisa,3,1,1,0,2,1,1.32,0.37,43%,57%,10,9,3,3,3,4,17,10,1,2,1,1,8,24,2,0,0,0,14,11,2,4,382,498,14,18,99,101,31,42,13,12
25,06.04.2024,RODADA 32,FeralpiSalo,Cosenza,2,2,1,1,1,1,1.60,0.76,48%,52%,15,11,6,2,5,6,4,9,9,5,1,0,23,16,0,4,0,0,5,4,2,2,351,390,11,15,82,108,44,28,9,15
26,06.04.2024,RODADA 32,Spezia,Lecco,1,1,1,1,0,0,1.21,0.53,49%,51%,18,13,7,4,6,7,20,12,6,4,1,0,14,31,3,6,19,11,0,1,2,7,355,375,11,9,86,75,49,36,22,21
27,06.04.2024,RODADA 32,Sudtirol,Parma,0,0,0,0,0,0,0.32,0.64,49%,51%,8,11,2,3,4,5,16,20,4,4,1,1,16,16,3,2,0,0,13,18,1,2,449,477,18,7,80,106,33,49,9,16
28,06.04.2024,RODADA 32,Ternana,Modena,0,0,0,0,0,0,0.86,2.61,37%,63%,12,26,0,10,5,12,15,19,5,4,1,2,17,19,10,0,0,0,12,17,2,3,313,534,12,14,73,113,24,58,34,15
29,05.04.2024,RODADA 32,Bari,Cremonese,1,2,0,1,1,1,1.25,1.68,38%,62%,12,15,6,5,2,6,11,15,7,2,2,2,23,18,3,5,0,0,13,9,5,3,311,529,12,7,75,93,42,54,18,22
30,01.04.2024,RODADA 31,Sampdoria,Ternana,4,1,1,0,3,1,3.06,1.42,56%,44%,19,11,8,3,5,5,18,13,10,6,0,1,9,15,2,4,0,0,17,13,0,2,457,361,14,21,95,102,47,42,21,25
31,01.04.2024,RODADA 31,Cremonese,FeralpiSalo,0,1,0,0,0,1,2.28,1.13,64%,36%,28,10,5,3,12,5,9,10,11,1,1,0,15,8,2,5,0,0,0,0,8,10,500,293,22,20,118,80,88,33,8,36
32,01.04.2024,RODADA 31,Como,Sudtirol,2,0,1,0,1,0,0.63,0.80,49%,51%,13,6,3,3,5,2,18,21,8,5,3,2,32,27,3,1,0,0,13,15,1,1,401,434,14,8,91,88,36,29,10,20
33,01.04.2024,RODADA 31,Cosenza,Brescia,1,2,1,1,0,1,0.69,1.27,48%,52%,9,14,3,5,3,3,13,16,7,4,2,2,23,21,3,2,0,0,10,13,4,2,359,418,8,11,98,99,60,60,19,29
34,01.04.2024,RODADA 31,Lecco,Cittadella,1,1,1,1,0,0,0.58,0.59,58%,42%,13,10,4,4,4,4,15,12,4,3,2,3,35,33,3,3,0,0,15,9,1,4,374,275,14,19,96,96,55,40,35,20
35,01.04.2024,RODADA 31,Parma,Catanzaro,0,2,0,2,0,0,2.02,0.95,58%,42%,27,7,5,3,12,2,10,16,8,5,1,2,16,13,1,5,0,0,0,0,8,14,565,419,16,19,141,26,99,15,7,27
36,01.04.2024,RODADA 31,Pisa,Palermo,4,3,0,2,4,1,2.00,1.38,69%,31%,22,6,9,5,9,1,19,11,9,1,0,1,16,16,2,5,15,12,0,1,3,3,551,260,13,16,106,44,63,21,7,29
37,01.04.2024,RODADA 31,Spezia,Ascoli,2,1,1,1,1,0,2.33,0.30,52%,48%,10,7,6,3,3,4,23,13,4,4,2,2,14,24,2,4,0,0,19,11,1,1,403,373,17,22,113,86,40,36,13,21
38,01.04.2024,RODADA 31,Venezia,Reggiana,2,3,2,1,0,2,2.42,1.77,52%,48%,18,16,6,5,7,6,8,12,7,6,1,1,18,18,2,4,0,0,7,11,0,3,481,450,15,17,89,71,38,40,15,28
